,SecurityName,Identifier,Date,ColorValue,ColorMatch,Benchmark,QuoteType,ColorType,Size,SectorType,Tier,TierDesignation,Region,MdColorId,GroupingKey,LineNumber
0,Bond A,AAAAAAAAA,2018-05-01 07:58:00,97.375,97.375,,PRICE,BID,,CORP,2,A,U.S.,937153900,,
1,Bond A,AAAAAAAAA,2018-05-01 07:58:00,98.375,98.375,,PRICE,OFFER,,CORP,2,A,U.S.,937153901,,
2,Bond A,AAAAAAAAA,2018-05-01 07:58:00,5.414,5.414,YTC,YIELD,BID,,CORP,2,A,U.S.,937153902,,
3,Bond A,AAAAAAAAA,2018-05-01 07:58:00,5.206,5.206,YTC,YIELD,OFFER,,CORP,2,A,U.S.,937153903,,
4,Bond A,AAAAAAAAA,2018-05-01 08:06:00,98.75,98.75,,PRICE,OFFER,2701000.0,CORP,1,A,U.S.,937221452,,
5,Bond A,AAAAAAAAA,2018-05-01 09:40:00,98.75,98.75,,PRICE,OFFER,2701000.0,CORP,1,A,U.S.,937693371,,
6,Bond A,AAAAAAAAA,2018-05-01 10:23:00,98.75,98.75,,PRICE,OFFER,2701000.0,CORP,1,A,U.S.,937854112,,
7,Bond A,AAAAAAAAA,2018-05-01 11:38:00,98.75,98.75,,PRICE,OFFER,2701000.0,CORP,1,A,U.S.,938092799,,
8,Bond A,AAAAAAAAA,2018-05-01 12:46:00,98.75,98.75,,PRICE,OFFER,2701000.0,CORP,1,A,U.S.,938223002,,
9,Bond A,AAAAAAAAA,2018-05-01 13:01:00,97.125,97.125,,PRICE,BID,,CORP,2,A,U.S.,938245206,,
10,Bond A,AAAAAAAAA,2018-05-01 13:01:00,98.125,98.125,,PRICE,OFFER,,CORP,2,A,U.S.,938245207,,
11,Bond A,AAAAAAAAA,2018-05-01 13:01:00,5.466,5.466,YTC,YIELD,BID,,CORP,2,A,U.S.,938245208,,
12,Bond A,AAAAAAAAA,2018-05-01 13:01:00,5.257999999999999,5.258,YTC,YIELD,OFFER,,CORP,2,A,U.S.,938245209,,
13,Bond A,AAAAAAAAA,2018-05-01 13:01:00,97.125,97.125,,PRICE,BID,,CORP,2,A,U.S.,938242992,,
14,Bond A,AAAAAAAAA,2018-05-01 13:01:00,98.125,98.125,,PRICE,OFFER,,CORP,2,A,U.S.,938242993,,
