cusip,reported_date,spread,price,reported_volume,estimated_volume,execution_time,reported_time,reporting_party_type,contra_party_type,side,quantity_ind
AAAAAAAAA,2018-05-01,,99.725,25000,25000,5/1/2018 12:39,5/1/2018 12:41,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.774,25000,25000,5/1/2018 12:39,5/1/2018 12:41,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.75,10000,10000,5/1/2018 12:53,5/1/2018 12:53,BROKER_DEALER,ATS,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.85,10000,10000,5/1/2018 12:53,5/1/2018 12:53,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.75,10000,10000,5/1/2018 12:53,5/1/2018 12:53,ATS,BROKER_DEALER,SELL,ACTUAL
BBBBBBBBB,2018-05-01,79.593939,102.495,50000,50000,5/1/2018 12:59,5/1/2018 12:59,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
BBBBBBBBB,2018-05-01,99.378046,101.229,50000,50000,5/1/2018 12:59,5/1/2018 12:59,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
CCCCCCCCC,2018-05-01,143.31694199999995,93.062,200000,200000,5/1/2018 13:21,5/1/2018 13:21,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
CCCCCCCCC,2018-05-01,143.31694199999995,93.062,200000,200000,5/1/2018 13:21,5/1/2018 13:21,BROKER_DEALER,NON_MEMBER,BUY,ACTUAL
AAAAAAAAA,2018-05-01,,99.75,75000,75000,5/1/2018 14:02,5/1/2018 14:02,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.75,75000,75000,5/1/2018 14:02,5/1/2018 14:03,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.795,1000000,1000000,5/1/2018 14:20,5/1/2018 14:20,BROKER_DEALER,CUSTOMER,BUY,ACTUAL
AAAAAAAAA,2018-05-01,,99.8,1000000,1000000,5/1/2018 14:20,5/1/2018 14:20,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.85,1000000,1000000,5/1/2018 14:23,5/1/2018 14:23,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
DDDDDDDDD,2018-05-01,49.086388,98.775,11000,11000,5/1/2018 15:15,5/1/2018 15:15,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
DDDDDDDDD,2018-05-01,54.039655,98.655,11000,11000,5/1/2018 15:15,5/1/2018 15:15,BROKER_DEALER,CUSTOMER,BUY,ACTUAL
DDDDDDDDD,2018-05-01,43.975818,98.899,37000,37000,5/1/2018 15:22,5/1/2018 15:24,BROKER_DEALER,CUSTOMER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.789,1000000,1000000,5/1/2018 15:29,5/1/2018 15:30,BROKER_DEALER,BROKER_DEALER,SELL,ACTUAL
AAAAAAAAA,2018-05-01,,99.785,1000000,1000000,5/1/2018 15:30,5/1/2018 15:30,BROKER_DEALER,CUSTOMER,BUY,ACTUAL
